figure	element	bbox	violation_type	status
Fig4	tick_neighbor:axes1:3:−0.5	457.9,627.5,479.7,637.5	NONE	PASS
Fig4	tick_neighbor:axes1:4:0.0	464.4,674.3,479.7,684.3	NONE	PASS
Fig4	tick_neighbor:axes1:5:0.5	464.4,721.1,479.7,731.1	NONE	PASS
Fig4	tick_neighbor:axes1:6:1.0	464.3,767.9,479.7,777.9	NONE	PASS
Fig4	tick_neighbor:axes1:7:1.5	464.3,814.7,479.7,824.7	NONE	PASS
Fig4	tick_neighbor:axes2:0:PDR	146.3,332.6,169.6,342.6	NONE	PASS
Fig4	tick_neighbor:axes2:1:MP	236.2,332.6,252.7,342.6	NONE	PASS
Fig4	tick_neighbor:axes2:2:MH	322.3,332.6,339.4,342.6	NONE	PASS
Fig4	tick_neighbor:axes2:3:−2	112.6,337.2,125.3,347.2	NONE	PASS
Fig4	tick_neighbor:axes2:4:0	119.2,370.6,125.3,380.6	NONE	PASS
Fig4	tick_neighbor:axes2:5:2	119.1,403.9,125.3,413.9	NONE	PASS
Fig4	tick_neighbor:axes2:6:4	119.2,437.2,125.3,447.2	NONE	PASS
Fig4	tick_neighbor:axes2:7:6	119.1,470.5,125.3,480.5	NONE	PASS
Fig4	tick_neighbor:axes2:8:8	119.1,503.8,125.3,513.8	NONE	PASS
Fig4	tick_neighbor:axes2:9:10	113.0,537.2,125.3,547.2	NONE	PASS
Fig4	tick_neighbor:axes3:0:−10	445.0,332.6,463.9,342.6	NONE	PASS
Fig4	tick_neighbor:axes3:1:−8	485.2,332.6,497.9,342.6	NONE	PASS
Fig4	tick_neighbor:axes3:2:−6	522.3,332.6,535.0,342.6	NONE	PASS
Fig4	tick_neighbor:axes3:3:−4	559.5,332.6,572.1,342.6	NONE	PASS
Fig4	tick_neighbor:axes3:4:−2	596.5,332.6,609.3,342.6	NONE	PASS
Fig4	tick_neighbor:axes3:5:0	636.9,332.6,643.1,342.6	NONE	PASS
Fig4	tick_neighbor:axes3:6:2	674.0,332.6,680.2,342.6	NONE	PASS
Fig4	tick_neighbor:axes3:7:4	711.1,332.6,717.3,342.6	NONE	PASS
Fig4	"tick_neighbor:axes3:8:GSE94019
PDR FVM vs control"	379.0,347.3,479.7,368.9	NONE	PASS
Fig4	"tick_neighbor:axes3:9:GSE307925
treated vs untreated"	380.4,398.1,479.7,419.7	NONE	PASS
Fig4	"tick_neighbor:axes3:10:GSE179568
PDR vs MP"	419.2,448.8,479.7,470.4	NONE	PASS
Fig4	"tick_neighbor:axes3:11:GSE179568
PDR vs MH"	419.2,499.6,479.7,521.2	NONE	PASS
Fig4	tick_neighbor:axes4:0:−4	91.2,44.4,103.8,54.4	NONE	PASS
Fig4	tick_neighbor:axes4:1:−3	152.7,44.4,165.5,54.4	NONE	PASS
Fig4	tick_neighbor:axes4:2:−2	214.3,44.4,227.1,54.4	NONE	PASS
Fig4	tick_neighbor:axes4:3:−1	275.9,44.4,288.6,54.4	NONE	PASS
Fig4	tick_neighbor:axes4:4:0	340.8,44.4,346.9,54.4	NONE	PASS
Fig4	tick_neighbor:axes4:5:1	402.3,44.4,408.5,54.4	NONE	PASS
Fig4	tick_neighbor:axes4:6:RGC	100.7,65.7,125.3,75.7	NONE	PASS
Fig4	tick_neighbor:axes4:7:B-Cell	95.1,116.5,125.3,126.5	NONE	PASS
Fig4	tick_neighbor:axes4:8:Choriocapillaris	48.7,167.3,125.3,177.3	NONE	PASS
Fig4	tick_neighbor:axes4:9:Vein	103.1,218.0,125.3,228.0	NONE	PASS
Fig4	tick_neighbor:axes5:0:Non-lesional	483.6,44.4,545.7,54.4	NONE	PASS
Fig4	tick_neighbor:axes5:1:Lesion overlap	646.6,44.4,719.1,54.4	NONE	PASS
Fig4	tick_neighbor:axes5:2:0.00	458.3,42.3,479.7,52.3	NONE	PASS
Fig4	tick_neighbor:axes5:3:0.05	458.3,76.8,479.7,86.8	NONE	PASS
Fig4	tick_neighbor:axes5:4:0.10	458.2,111.3,479.7,121.3	NONE	PASS
Fig4	tick_neighbor:axes5:5:0.15	458.2,145.9,479.7,155.9	NONE	PASS
Fig4	tick_neighbor:axes5:6:0.20	458.2,180.4,479.7,190.4	NONE	PASS
Fig4	tick_neighbor:axes5:7:0.25	458.2,214.9,479.7,224.9	NONE	PASS
Fig4	tick_neighbor:axes5:8:0.30	458.2,249.4,479.7,259.4	NONE	PASS
