analysis_universe	dataset	GSM	donor_id	gene	raw_pseudobulk_count	CPM	log2_CPM_plus_0_5	population_z_ddof0	equal_weight	final_six_gene_score
EXPANDED_DONOR_9	GSE165784	GSM5049905	Case 1	VEGFA	0.0	0.0	-1.0	-1.172057327720201	0.16666666666666666	-0.7673493974860714
EXPANDED_DONOR_9	GSE165784	GSM5049905	Case 1	MAPK1	5.0	42.663936174751484	5.431754526925113	-1.2623278321563107	0.16666666666666666	-0.7673493974860714
EXPANDED_DONOR_9	GSE165784	GSM5049905	Case 1	AKT1	0.0	0.0	-1.0	-2.6348934213133792	0.16666666666666666	-0.7673493974860714
EXPANDED_DONOR_9	GSE165784	GSM5049905	Case 1	NOS3	8.0	68.26229787960237	6.1035458520959205	-0.3077316516766304	0.16666666666666666	-0.7673493974860714
EXPANDED_DONOR_9	GSE165784	GSM5049906	Case 2	FLT1	39.0	368.9443461643978	8.529213240046115	-1.6626201021293003	0.16666666666666666	-0.7704888483469386
EXPANDED_DONOR_9	GSE165784	GSM5049906	Case 2	KDR	18.0	170.28200592202978	7.416012166286916	-0.9196909529588715	0.16666666666666666	-0.7704888483469386
EXPANDED_DONOR_9	GSE165784	GSM5049906	Case 2	VEGFA	0.0	0.0	-1.0	-1.172057327720201	0.16666666666666666	-0.7704888483469386
EXPANDED_DONOR_9	GSE165784	GSM5049906	Case 2	MAPK1	10.0	94.60111440112765	6.571390341667844	0.5686679282720728	0.16666666666666666	-0.7704888483469386
EXPANDED_DONOR_9	GSE165784	GSM5049906	Case 2	AKT1	2.0	18.920222880225527	4.2794878531290665	-0.03457038329667859	0.16666666666666666	-0.7704888483469386
EXPANDED_DONOR_9	GSE165784	GSM5049906	Case 2	NOS3	5.0	47.30055720056382	5.578955530369639	-1.4026622522486536	0.16666666666666666	-0.7704888483469386
EXPANDED_DONOR_9	GSE165784	GSM5277737	Case 3	FLT1	440.0	738.6268255833472	9.529678125108852	-0.06604944476622265	0.16666666666666666	-0.6357142025216124
EXPANDED_DONOR_9	GSE165784	GSM5277737	Case 3	KDR	75.0	125.90229981534328	6.9818789025144765	-1.775550366541633	0.16666666666666666	-0.6357142025216124
EXPANDED_DONOR_9	GSE165784	GSM5277737	Case 3	VEGFA	0.0	0.0	-1.0	-1.172057327720201	0.16666666666666666	-0.6357142025216124
EXPANDED_DONOR_9	GSE165784	GSM5277737	Case 3	MAPK1	24.0	40.28873594090985	5.350098893019556	-1.3935198476774433	0.16666666666666666	-0.6357142025216124
EXPANDED_DONOR_9	GSE165784	GSM5277737	Case 3	AKT1	7.0	11.750881316098708	3.614813633880907	-0.36194450237195536	0.16666666666666666	-0.6357142025216124
EXPANDED_DONOR_9	GSE165784	GSM5277737	Case 3	NOS3	62.0	104.07923451401713	6.708452605052293	0.9548362739477814	0.16666666666666666	-0.6357142025216124
EXPANDED_DONOR_9	GSE165784	GSM5690478	Case 4	FLT1	451.0	945.2132598120892	9.885259014613759	0.5013967724660765	0.16666666666666666	0.8512994452109149
EXPANDED_DONOR_9	GSE165784	GSM5690478	Case 4	KDR	212.0	444.31310660789995	8.797055488087132	1.8029267917801766	0.16666666666666666	0.8512994452109149
EXPANDED_DONOR_9	GSE165784	GSM5690478	Case 4	VEGFA	1.0	2.095816540603302	1.376188424433126	0.6099034027073188	0.16666666666666666	0.8512994452109149
EXPANDED_DONOR_9	GSE165784	GSM5690478	Case 4	MAPK1	63.0	132.03644205800802	7.050245285660051	1.3380201730572465	0.16666666666666666	0.8512994452109149
EXPANDED_DONOR_9	GSE165784	GSM5690478	Case 4	AKT1	29.0	60.77867967749575	5.937313307893542	0.7819636902649436	0.16666666666666666	0.8512994452109149
EXPANDED_DONOR_9	GSE165784	GSM5690478	Case 4	NOS3	37.0	77.54521200232217	6.2862382218709545	0.07358584098972869	0.16666666666666666	0.8512994452109149
EXPANDED_DONOR_9	GSE165784	GSM5690479	Case 5	FLT1	385.0	380.28372128857904	8.572827993740344	-1.5930184229339763	0.16666666666666666	-0.380094595864823
EXPANDED_DONOR_9	GSE165784	GSM5690479	Case 5	KDR	181.0	178.7827365019034	7.486092764639257	-0.781532592808881	0.16666666666666666	-0.380094595864823
EXPANDED_DONOR_9	GSE165784	GSM5690479	Case 5	VEGFA	8.0	7.901999403399045	3.070732683382956	1.88068281328389	0.16666666666666666	-0.380094595864823
EXPANDED_DONOR_9	GSE165784	GSM5690479	Case 5	MAPK1	41.0	40.49774694242011	5.357472722561701	-1.3816726852285899	0.16666666666666666	-0.380094595864823
EXPANDED_DONOR_9	GSE165784	GSM5690479	Case 5	AKT1	20.0	19.754998508497614	4.340206073677045	-0.004664643931313685	0.16666666666666666	-0.380094595864823
EXPANDED_DONOR_9	GSE165784	GSM5690479	Case 5	NOS3	67.0	66.179245003467	6.0591658639399375	-0.4003620435700676	0.16666666666666666	-0.380094595864823
EXPANDED_DONOR_9	GSE245561	GSM7845000	Sample 3	FLT1	554.0	1017.1856639247943	9.991076304695204	0.6702630494420228	0.16666666666666666	0.455234943374716
