analysis_universe	model	left_out_dataset	left_out_GSM	left_out_donor_id	n_remaining	estimate	standard_error	residual_df	exact_ols_p	ci95_low	ci95_high	design_rank	condition_number	status
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845000	Sample 3	6	-0.3177666026297278	2.8444717258762386	3	0.9181055421874357	-9.370145137128535	8.734611931869079	3	16.790911263350058	ESTIMABLE
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845001	Sample 4	6	-0.31105728389608356	2.6091583720641136	3	0.9126382310165636	-8.614563704971575	7.992449137179408	3	15.376783799588079	ESTIMABLE
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845002	Sample 2	6	-0.08146583737164978	4.4076061808498626	3	0.9864140733343898	-14.108435842762928	13.94550416801963	3	26.345697301828057	ESTIMABLE
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845003	Sample 1	6	-0.31559140593977475	3.660008418626201	3	0.936718608333383	-11.963371675103996	11.332188863224445	3	21.525538021172203	ESTIMABLE
HIGHER_CELL_COUNT_7	M2	GSE165784	GSM5277737	Case 3	6	-1.5717258778996115	4.056708587051328	2	0.7357756854618784	-19.026334153774087	15.882882397974866	4	31.70337461895441	ESTIMABLE
HIGHER_CELL_COUNT_7	M2	GSE165784	GSM5690478	Case 4	6	-0.6091312344455537	0.4005368104665381	2	0.26769989007607814	-2.3325020353645467	1.1142395664734392	4	22.407888524675414	ESTIMABLE
HIGHER_CELL_COUNT_7	M2	GSE165784	GSM5690479	Case 5	6	-2.1082014434833716	2.292036904063072	2	0.45478038539544663	-11.970040285436854	7.75363739847011	4	21.74789429711254	ESTIMABLE
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845000	Sample 3	6	-1.1324204931064639	2.9143288386367803	2	0.7350583014047324	-13.671765426054586	11.406924439841658	4	20.28929028045931	ESTIMABLE
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845001	Sample 4	6	-1.7235499707944546	2.581285225503112	2	0.5730528100768039	-12.829923892567376	9.382823950978466	4	22.83438738496297	ESTIMABLE
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845002	Sample 2	6	-2.199044126751551	5.190761750160362	2	0.7130363873634562	-24.533089340558128	20.135001087055024	4	37.127289230588616	ESTIMABLE
